Topic,Metric,BM25,ReRanker,Difference
395,p@20,0.0,0.0,0.0
395,r@20,0.0,0.0,0.0
395,ndcg@20,0.0,0.0,0.0
395,p@50,0.0,0.0,0.0
395,r@50,0.0,0.0,0.0
395,ndcg@50,0.0,0.0,0.0
395,p@100,0.0,0.0,0.0
395,r@100,0.0,0.0,0.0
395,ndcg@100,0.0,0.0,0.0
352,MRR,0.5,1.0,0.5
352,p@5,0.4,0.6,0.19999999999999996
352,r@5,0.008368200836820083,0.012552301255230125,0.004184100418410042
352,ndcg@5,0.36005461457723403,0.6548086577531307,0.29475404317589665
352,p@10,0.4,0.7,0.29999999999999993
352,r@10,0.016736401673640166,0.029288702928870293,0.012552301255230127
352,ndcg@10,0.3706355185414171,0.6975961695061491,0.32696065096473204
352,p@20,0.3,0.45,0.15000000000000002
352,r@20,0.02510460251046025,0.03765690376569038,0.012552301255230127
352,ndcg@20,0.3161238792684104,0.5261831452543504,0.21005926598594
352,p@50,0.22,0.54,0.32000000000000006
352,r@50,0.04602510460251046,0.11297071129707113,0.06694560669456068
352,ndcg@50,0.2503483369929111,0.5572612860577104,0.3069129490647993
352,p@100,0.15,0.53,0.38
352,r@100,0.06276150627615062,0.2217573221757322,0.1589958158995816
352,ndcg@100,0.18530254935248194,0.5440171161194596,0.35871456676697766
399,MRR,0.0,0.0,0.0
399,p@5,0.0,0.0,0.0
399,r@5,0.0,0.0,0.0
399,ndcg@5,0.0,0.0,0.0
399,p@10,0.0,0.0,0.0
399,r@10,0.0,0.0,0.0
399,ndcg@10,0.0,0.0,0.0
399,p@20,0.0,0.0,0.0
399,r@20,0.0,0.0,0.0
399,ndcg@20,0.0,0.0,0.0
399,p@50,0.0,0.0,0.0
399,r@50,0.0,0.0,0.0
399,ndcg@50,0.0,0.0,0.0
399,p@100,0.0,0.0,0.0
399,r@100,0.0,0.0,0.0
399,ndcg@100,0.0,0.0,0.0
429,MRR,1.0,0.125,-0.875
429,p@5,0.2,0.0,-0.2
429,r@5,1.0,0.0,-1.0
429,ndcg@5,1.0,0.0,-1.0
429,p@10,0.1,0.1,0.0
429,r@10,1.0,1.0,0.0
429,ndcg@10,1.0,0.31546487678572877,-0.6845351232142712
429,p@20,0.05,0.05,0.0
429,r@20,1.0,1.0,0.0
429,ndcg@20,1.0,0.31546487678572877,-0.6845351232142712
429,p@50,0.02,0.02,0.0
429,r@50,1.0,1.0,0.0
429,ndcg@50,1.0,0.31546487678572877,-0.6845351232142712
429,p@100,0.01,0.01,0.0
429,r@100,1.0,1.0,0.0
429,ndcg@100,1.0,0.31546487678572877,-0.6845351232142712
356,MRR,0.0,0.0,0.0
356,p@5,0.0,0.0,0.0
356,r@5,0.0,0.0,0.0
356,ndcg@5,0.0,0.0,0.0
356,p@10,0.0,0.0,0.0
356,r@10,0.0,0.0,0.0
356,ndcg@10,0.0,0.0,0.0
356,p@20,0.0,0.0,0.0
356,r@20,0.0,0.0,0.0
356,ndcg@20,0.0,0.0,0.0
356,p@50,0.0,0.0,0.0
356,r@50,0.0,0.0,0.0
356,ndcg@50,0.0,0.0,0.0
356,p@100,0.0,0.0,0.0
356,r@100,0.0,0.0,0.0
356,ndcg@100,0.0,0.0,0.0
348,MRR,0.1111111111111111,0.0,-0.1111111111111111
348,p@5,0.0,0.0,0.0
348,r@5,0.0,0.0,0.0
348,ndcg@5,0.0,0.0,0.0
348,p@10,0.1,0.0,-0.1
348,r@10,1.0,0.0,-1.0
348,ndcg@10,0.3010299956639812,0.0,-0.3010299956639812
348,p@20,0.05,0.0,-0.05
348,r@20,1.0,0.0,-1.0
348,ndcg@20,0.3010299956639812,0.0,-0.3010299956639812
348,p@50,0.02,0.0,-0.02
348,r@50,1.0,0.0,-1.0
348,ndcg@50,0.3010299956639812,0.0,-0.3010299956639812
348,p@100,0.01,0.0,-0.01
348,r@100,1.0,0.0,-1.0
348,ndcg@100,0.3010299956639812,0.0,-0.3010299956639812
411,MRR,0.0018587360594795538,0.06666666666666667,0.0648079306071871
411,p@5,0.0,0.0,0.0
411,r@5,0.0,0.0,0.0
411,ndcg@5,0.0,0.0,0.0
411,p@10,0.0,0.0,0.0
411,r@10,0.0,0.0,0.0
411,ndcg@10,0.0,0.0,0.0
411,p@20,0.0,0.05,0.05
411,r@20,0.0,1.0,1.0
411,ndcg@20,0.0,0.25,0.25
411,p@50,0.0,0.02,0.02
411,r@50,0.0,1.0,1.0
411,ndcg@50,0.0,0.25,0.25
411,p@100,0.0,0.01,0.01
411,r@100,0.0,1.0,1.0
411,ndcg@100,0.0,0.25,0.25
